executions,shape,example
5884,"SELECT r.*, p.name FROM prod_homecare_actransactional_homecare.referral AS r JOIN prod_homecare_actransactional_organization.provider AS p ON p.providerid = r.providerid WHERE r.createdon >= ? AND NOT r.hmcleadid IS NULL","select `referralid`, `referralactivationsourceid`, `modifiedon`, `hmcleadidupdateby`, `referraldisplaystatustypeid`, `referralendcarereasontypeid`, `orderid`, `referralstatustypeid`, `modifiedby`, `advisorstartedcareon`, `istopoff`, `sysstarttime`, `billingtypeid`, `sfrecordid`, `digitaljourney`, `c ..."
5883,"SELECT r.hmcrequestid, l.hmcleadid, r.postalcode, r.requeststatusid, r.createdate FROM prod_homecare_insite_directory.hmcrequest AS r JOIN prod_homecare_insite_directory.hmclead AS l ON l.hmcrequestid = r.hmcrequestid WHERE r.createdate >= ? AND r.requeststatusid = ?","select * from ( SELECT r.HMCRequestID ,l.HMCLeadID ,r.postalcode ,r.requeststatusid ,r.createdate FROM prod_homecare_insite_directory.hmcrequest r JOIN prod_homecare_insite_directory.hmclead l on l.HMCRequestID = r.HMCRequestID Where r.createdate >= '2024-01-01' and r.requeststatusid = 2 ) as `_` li ..."
5487,"SELECT referralid, providerid, homecarereferralid, r.firstname, r.lastname, r.emailaddress, phone, carerecipientfirstname, carerecipientlastname, r.whyiscareneeded, r.postalcode, referraldate, referralstatustypeid, clientapproval, externalidentifier, modifiedon, modifiedby, createdon, createdby, sysstarttime, sysendtime, hmcp.slppsourcetypeid FROM prod_homecare_actransactional_seniorliving.referral AS r LEFT JOIN prod_homecare_insite_directory.hmcprospect AS hmcp ON r.firstname = hmcp.firstname AND r.lastname = hmcp.lastname AND r.emailaddress = hmcp.emailaddress WHERE r.firstname <> ?","select `ReferralID`, `ProviderID`, `HomeCareReferralID`, `FirstName`, `LastName`, `EmailAddress`, `Phone`, `CareRecipientFirstName`, `CareRecipientLastName`, `WhyIsCareNeeded`, `PostalCode`, `ReferralDate`, `ReferralStatusTypeID`, `ClientApproval`, `ExternalIdentifier`, `ModifiedOn`, `ModifiedBy`, ` ..."
5436,"WITH cte AS (SELECT agentstatedetailid, agent, agentgroup, agentfirstname, agentlastname, time, state, SECOND(agentstatetime) + (MINUTE(agentstatetime) * ?) AS duration, reasoncode, agentstatetime, DATE_FORMAT(time, ?) AS hours, DATE_FORMAT(time, ?) AS minute, (hours * ?) + minute AS starttimeid, DATE_FORMAT(TO_DATE(detaildate, ?), ?) AS dateid, TO_DATE(detaildate, ?) AS date, CASE WHEN agent = ? THEN ? WHEN agent = ? THEN ? ELSE LOWER(CONCAT(LEFT(agent, LOCATE(?, agent) - ?), SUBSTRING(agent, LOCATE(?, agent) + ?, ?))) END AS name_join FROM prod_homecare_acreporting_import.five9dailyagentstat ...","select `OnCall`, `TimeDateID`, `DimDate`, `DimTimeID`, `MonthName`, `MonthYearID`, `DateTimeID`, `EndTimeID`, `AgentStateDetailId`, `Agent`, `AgentGroup`, `AgentFirstName`, `AgentLastName`, `Time`, `State`, `Duration`, `ReasonCode`, `AgentStateTime`, `hours`, `minute`, `StartTimeID`, `DateID`, `Date ..."
5435,"WITH cte AS (SELECT calllogid, agentname, timestamp, LAG(timestamp) OVER (PARTITION BY agentname, CAST(timestamp AS DATE) ORDER BY timestamp) AS lagtimestamp FROM prod_homecare_acreporting_import.five9dailycalllogs WHERE timestamp >= ? AND agentgroup = ?), cte1 AS (SELECT agentname, CAST(timestamp AS DATE) AS date, timestamp, calllogid, lagtimestamp, TIMESTAMPDIFF(MINUTE, CAST(lagtimestamp AS TIMESTAMP), timestamp), CASE WHEN TIMESTAMPDIFF(MINUTE, CAST(lagtimestamp AS TIMESTAMP), timestamp) < ? THEN ? WHEN TIMESTAMPDIFF(MINUTE, CAST(lagtimestamp AS TIMESTAMP), timestamp) BETWEEN ? AND ? THEN ? ...","select `Date`, `Agentname`, `Gaps`, `CallGapBucket` from ( WITH CTE1 AS ( WITH CTE AS ( Select calllogid ,agentname ,timestamp , lag(timestamp) over(partition by agentname, cast(timestamp as date) order by timestamp) as LagTimeStamp FROM prod_homecare_acreporting_import.five9dailycalllogs where time ..."
5425,"WITH cte AS (SELECT calllogid, agentname, timestamp, LAG(timestamp) OVER (PARTITION BY agentname, CAST(timestamp AS DATE) ORDER BY timestamp) AS lagtimestamp FROM prod_homecare_acreporting_import.five9dailycalllogs WHERE timestamp >= ? AND agentgroup = ?), cte1 AS (SELECT agentname, CAST(timestamp AS DATE) AS date, timestamp, calllogid, lagtimestamp, TIMESTAMPDIFF(MINUTE, CAST(lagtimestamp AS TIMESTAMP), timestamp) AS holder, CASE WHEN TIMESTAMPDIFF(MINUTE, CAST(lagtimestamp AS TIMESTAMP), timestamp) < ? THEN ? WHEN TIMESTAMPDIFF(MINUTE, CAST(lagtimestamp AS TIMESTAMP), timestamp) BETWEEN ? AN ...","select `Date`, `Agentname`, `Max_Gap`, `NinetyPercentile` from ( WITH CTE1 AS ( WITH CTE AS ( Select calllogid ,agentname ,timestamp , lag(timestamp) over(partition by agentname, cast(timestamp as date) order by timestamp) as LagTimeStamp FROM prod_homecare_acreporting_import.five9dailycalllogs wher ..."
5230,"SELECT DISTINCT COUNT(DISTINCT ref.referralid) AS referrals, ref.orderid, CAST(ref.referredon AS DATE) AS referraldate FROM prod_homecare_actransactional_homecare.referral AS ref WHERE NOT ref.hmcleadid IS NULL AND ref.referredon >= ? GROUP BY ref.orderid, CAST(ref.referredon AS DATE)","select `Referrals`, `orderid`, `ReferralDate` from ( Select distinct count(distinct ref.referralid) Referrals ,ref.orderid ,cast(ref.referredon as date) ReferralDate FROM prod_homecare_actransactional_homecare.referral ref WHERE ref.hmcleadid is not null and ref.referredon >= '2025' GROUP BY ref.ord ..."
5218,"WITH cte AS (SELECT CONCAT(agentfirstname, ?, agentlastname) AS agentname, DATE_FORMAT(agentstatetime, ?) AS hour, DATE_FORMAT(agentstatetime, ?) AS minutes, DATE_FORMAT(agentstatetime, ?) AS seconds, agentstatetime, TO_DATE(detaildate, ?) AS detaildate, CASE WHEN agent = ? THEN ? WHEN agent = ? THEN ? ELSE LOWER(CONCAT(LEFT(agent, LOCATE(?, agent) - ?), SUBSTRING(agent, LOCATE(?, agent) + ?, ?))) END AS name_join FROM prod_homecare_acreporting_import.five9dailyagentstatedetails WHERE detaildate >= ? AND agentstatetime <> ? AND agentgroup = ? AND NOT state IN (?) ORDER BY agentstatedetailid DE ...","select `AgentName`, `DetailDate`, `Name_join`, `HoursWorked` from ( WITH CTE1 AS ( WITH CTE AS ( SELECT Concat(AgentFirstName, "" "",AgentLastName) AgentName ,date_format(AgentStateTime,""HH"") Hour ,date_format(AgentStateTime,""mm"") minutes ,date_format(AgentStateTime,""ss"") seconds ,agentstatetime ,To_d ..."
5028,"SELECT hottransferresultid, htr.providerid, lid.leadid, hottransferresponseid, DATE_ADD(HOUR, -?, hottransferredon) AS hottransferredon, htr.createdon, htr.createdby, htr.modifiedon, htr.modifiedby, deleted, CONCAT(l.contactfirstname, ?, l.contactlastname) AS contactname, CONCAT(l.firstname, ?, l.lastname) AS residentname, l.contactphone, l.contactemail FROM prod_homecare_actransactional_homecare.hottransferresult AS htr LEFT JOIN prod_homecare_actransactional_homecare.lead AS l ON l.leadid = htr.leadid LEFT JOIN prod_homecare_actransactional_homecare.referral AS r ON htr.providerid = r.provid ...","select `HotTransferResultID`, `ProviderID`, `LeadID`, `HotTransferResponseID`, `HotTransferredOn`, `CreatedOn`, `CreatedBy`, `ModifiedOn`, `ModifiedBy`, `Deleted`, `ContactName`, `ResidentName`, `ContactPhone`, `ContactEmail` from ( SELECT HotTransferResultID ,htr.ProviderID ,lid.LeadID ,HotTransfer ..."
5017,"SELECT referralbillingid, referralid, providerid, amount, rate, billingperiodid, reportedon, invoicedon, modifiedon, modifiedby, createdon, createdby, sysstarttime, sysendtime FROM prod_homecare_actransactional_homecare.referralbilling WHERE invoicedon >= ? OR invoicedon IS NULL","select `ReferralBillingID`, `ReferralID`, `ProviderID`, `Amount`, `Rate`, `BillingPeriodID`, `ReportedOn`, `InvoicedOn`, `ModifiedOn`, `ModifiedBy`, `CreatedOn`, `CreatedBy`, `SysStartTime`, `SysEndTime` from ( SELECT ReferralBillingID ,ReferralID ,ProviderID ,Amount ,Rate ,BillingPeriodID ,Reported ..."
4954,"SELECT providerid, u.firstname AS csm, u2.firstname AS hcam FROM prod_homecare_actransactional_organization.provider LEFT JOIN prod_homecare_actransactional_auth.users AS u ON u.userid = accountspecialistuserid LEFT JOIN prod_homecare_actransactional_auth.users AS u2 ON u2.userid = hcamuserid ORDER BY providerid DESC","select * from ( SELECT ProviderID, u.FirstName AS CSM, u2.FirstName AS HCAM FROM prod_homecare_actransactional_organization.provider LEFT JOIN prod_homecare_actransactional_auth.users u ON u.UserID = AccountSpecialistUserID LEFT JOIN prod_homecare_actransactional_auth.users u2 ON u2.UserID = HCAMUse ..."
4939,"WITH cte AS (SELECT r.referralid, r.leadid, r.providerid, l.hmcprospectid, l.externalidentifier AS ygl_lead_id, billingtypeid, referralstatustypeid, referredon, CASE WHEN NOT hmcl.hottransferred IS NULL THEN ? ELSE ? END AS ht, activatedon, r.hmcleadid, orderid, hcc.amount, CASE WHEN r.orderid = ? THEN ? WHEN r.billingtypeid = ? THEN ? ELSE hcc.amount END AS referralrevenue, CASE WHEN (r.hmcleadid IS NULL AND billingtypeid = ?) THEN ? WHEN dca.source = ? THEN ? ELSE ? END AS apfm FROM prod_homecare_actransactional_homecare.referral AS r LEFT JOIN prod_homecare_actransactional_homecare.lead AS  ...","select `ReferralID`, `LeadID`, `ProviderID`, `ActDate`, `NumProv`, cast(`ReferredOn` as DATE) as `C1`, `HT`, `Activation`, `AnyHT`, `AnyActivation`, `BusinessUnit` from ( WITH CTE AS ( SELECT r.ReferralID ,r.LeadID ,r.ProviderID ,l.HMCProspectID ,l.ExternalIdentifier as YGL_Lead_ID ,BillingTypeID ,R ..."
4919,"SELECT u.userid, u.userkey, CASE WHEN u.usercode = ? THEN ? ELSE u.usercode END AS usercode, CASE WHEN u.usercode IN (?) THEN ? ELSE ? END AS group FROM prod_homecare_insite_dbo.users AS u WHERE NOT u.usercode IS NULL","select * from ( SELECT u.userid ,u.userkey ,CASE WHEN u.usercode = 'tonyamarrillo' then 'tonya' else u.usercode end as usercode ,case when u.usercode in ('gilav', 'edt', 'julietf', 'abnerp', 'charmaines', 'loum', 'maryn', 'loria', 'jesieliton', 'jeand', 'ninob', 'andreb', 'clarissep', 'debbiem', 'lo ..."
4848,"SELECT *, CASE WHEN timeid >= ? AND timeid < ? THEN ? ELSE ? END AS in_business_hours FROM prod_homecare_acreporting_reporting.dimtime","select * from ( Select * ,CASE WHEN timeid >= 800 and timeid < 2100 then 'Yes' Else 'No' End In_Business_Hours FROM prod_homecare_acreporting_reporting.dimtime ) as `_` limit 0"
4846,SELECT * FROM main.prod_homecare_actransactional_billing.homecarecharge WHERE createdon >= ?,select * from ( Select * FROM main.prod_homecare_actransactional_billing.homecarecharge where createdon >= '2025' ) as `_` limit 0
4829,SELECT * FROM prod_homecare_acreporting_reporting.cartproviderhistory WHERE date >= ?,select * from ( Select * FROM prod_homecare_acreporting_reporting.cartproviderhistory where date >= '2025' ) as `_` limit 0
4578,"SELECT homecarechargeid, accountid, referralid, amount, CASE WHEN accountid = ? AND iscredit = ? THEN ? WHEN accountid = ? AND iscredit = ? THEN -? ELSE amount END AS adjustedamount, statementid, tohomecarechargeid, iscredit, createdon, createdby, modifiedon, modifiedby, entryid FROM prod_homecare_actransactional_billing.homecarecharge WHERE createdon >= ? ORDER BY referralid","select * from ( SELECT HomeCareChargeID ,AccountID ,ReferralID ,Amount ,CASE WHEN AccountID = 2426 AND IsCredit = 0 THEN 34 WHEN AccountID = 2426 AND IsCredit = 1 THEN -34 ELSE Amount END AS AdjustedAmount ,StatementID ,ToHomeCareChargeID ,IsCredit ,CreatedOn ,CreatedBy ,ModifiedOn ,ModifiedBy ,Entr ..."
4527,"SELECT cph.providerid, cph.providername, cph.orderid, o.createdon AS ordercreatedate, MIN(date) AS firstactivedate, MAX(date) AS lastactivedate, ost.name AS currentorderstatus, osrt.name AS currentorderstatusreasontype, u2.firstname AS hcam, u.firstname AS csm FROM prod_homecare_acreporting_reporting.cartproviderhistory AS cph LEFT JOIN prod_homecare_actransactional_ordermanagement.order AS o ON o.orderid = cph.orderid LEFT JOIN prod_homecare_actransactional_ordermanagement.orderstatustype AS ost ON ost.orderstatustypeid = o.orderstatustypeid LEFT JOIN prod_homecare_actransactional_ordermanage ...","select `ProviderID`, `ProviderName`, `OrderID`, `OrderCreateDate`, `FirstActiveDate`, `LastActiveDate`, `CurrentOrderStatus`, `CurrentOrderStatusReasonType`, `HCAM`, `CSM` from ( SELECT cph.ProviderID ,cph.ProviderName ,cph.OrderID ,o.createdon AS OrderCreateDate ,MIN(Date) AS FirstActiveDate ,Max(d ..."
4523,"SELECT DISTINCT o.accountid, a.name AS accountname, hcamacc.hcam FROM prod_homecare_actransactional_ordermanagement.order AS o LEFT JOIN prod_homecare_actransactional_billing.account AS a ON a.accountid = o.accountid LEFT JOIN prod_homecare_actransactional_ordermanagement.orderstatustype AS ost ON ost.orderstatustypeid = o.orderstatustypeid LEFT JOIN prod_homecare_actransactional_ordermanagement.orderstatusreasontype AS osrt ON osrt.orderstatusreasontypeid = o.orderstatusreasontypeid RIGHT JOIN (SELECT DISTINCT a.accountid, u2.firstname AS hcam FROM prod_homecare_actransactional_organization.p ...","select `AccountID`, `AccountName`, `HCAM` from ( SELECT DISTINCT o.AccountID,a.Name AS AccountName,hcamacc.HCAM FROM prod_homecare_actransactional_ordermanagement.order o LEFT JOIN prod_homecare_actransactional_billing.account a ON a.AccountID = o.AccountID LEFT JOIN prod_homecare_actransactional_or ..."
4522,"WITH cte AS (SELECT cph.providerid, cph.providername, cph.orderid, o.createdon AS ordercreatedate, MIN(date) AS firstactivedate, MAX(date) AS lastactivedate, ost.name AS currentorderstatus, osrt.name AS currentorderstatusreasontype, u2.firstname AS hcam, u.firstname AS csm, p.postalcodeid, CASE WHEN dpc.code IS NULL THEN p.postalcode ELSE dpc.code END AS postalcode FROM prod_homecare_acreporting_reporting.cartproviderhistory AS cph LEFT JOIN prod_homecare_actransactional_ordermanagement.order AS o ON o.orderid = cph.orderid LEFT JOIN prod_homecare_actransactional_ordermanagement.orderstatustyp ...","select `ProviderID`, `ProviderName`, `OrderID`, `OrderCreateDate`, `FirstActiveDate`, `LastActiveDate`, `CurrentOrderStatus`, `CurrentOrderStatusReasonType`, `HCAM`, `CSM`, `postalcodeid`, `PostalCode`, `name` from ( WITH CTE AS( SELECT cph.ProviderID ,cph.ProviderName ,cph.OrderID ,o.createdon AS O ..."
4517,"SELECT DISTINCT p.providerid, p.name AS providername, cph.orderid, o.createdon AS ordercreatedate, ost.name AS currentorderstatus, osrt.name AS currentorderstatusreasontype, u2.firstname AS hcam, u.firstname AS csm FROM prod_homecare_acreporting_reporting.cartproviderhistory AS cph LEFT JOIN prod_homecare_actransactional_ordermanagement.order AS o ON o.orderid = cph.orderid LEFT JOIN prod_homecare_actransactional_ordermanagement.orderstatustype AS ost ON ost.orderstatustypeid = o.orderstatustypeid LEFT JOIN prod_homecare_actransactional_ordermanagement.orderstatusreasontype AS osrt ON osrt.ord ...","select * from ( SELECT distinct p.providerid ,p.name ProviderName ,cph.orderid ,o.createdon AS OrderCreateDate ,ost.name As CurrentOrderStatus ,osrt.name As CurrentOrderStatusReasonType ,u2.FirstName AS HCAM ,u.FirstName AS CSM FROM prod_homecare_acreporting_reporting.cartproviderhistory cph LEFT JO ..."
4512,"WITH cte AS (SELECT providerhistoryid, date, cph.providerid, o.orderid, cph.accountid, a.accountstatusreasontypeid, providername, ordername, accountname, cph.contracttype, orderstatus, orderstatusreason, cph.monthlycap, cph.monthlysent, o.createdon AS ordercreatedate, ccfail, u2.firstname AS hcam, u.firstname AS csm, ROW_NUMBER() OVER (PARTITION BY cph.providerid ORDER BY cph.date) AS rn, ROW_NUMBER() OVER (PARTITION BY cph.providerid ORDER BY cph.date DESC) AS dayssuspended FROM prod_homecare_acreporting_reporting.cartproviderhistory AS cph LEFT JOIN prod_homecare_actransactional_billing.acco ...","select * from ( WITH CTE4 AS ( WITH CTE3 AS ( WITH CTE2 AS( WITH CTE1 AS ( WITH CTE AS ( SELECT ProviderHistoryID ,Date ,cph.ProviderID ,o.OrderID ,cph.AccountID ,a.AccountStatusReasonTypeID ,ProviderName ,OrderName ,AccountName ,cph.ContractType ,OrderStatus ,OrderStatusReason ,cph.MonthlyCap ,cph. ..."
4418,"WITH cte AS (SELECT DISTINCT referralid, providerid, homecarereferralid, r.firstname, r.lastname, r.emailaddress, phone, carerecipientfirstname, carerecipientlastname, r.whyiscareneeded, r.postalcode, u.firstname AS careadvisor, req.requestdatetime, hmcp.hmcprospectid, referraldate, referralstatustypeid, clientapproval, externalidentifier, createdon, createdby, sysstarttime, sysendtime, hmcp.slppsourcetypeid, ROW_NUMBER() OVER (PARTITION BY referralid ORDER BY req.requestdatetime DESC) AS rn FROM prod_homecare_actransactional_seniorliving.referral AS r LEFT JOIN prod_homecare_insite_directory. ...","select * from ( WITH CTE AS ( SELECT DISTINCT ReferralID ,ProviderID ,HomeCareReferralID ,r.FirstName ,r.LastName ,r.EmailAddress ,Phone ,CareRecipientFirstName ,CareRecipientLastName ,r.WhyIsCareNeeded ,r.PostalCode ,u.FirstName AS CareAdvisor ,req.RequestDateTime ,hmcp.HMCProspectID ,ReferralDate  ..."
4417,"SELECT DISTINCT p.*, po.name AS organization FROM prod_homecare_actransactional_organization.provider AS p LEFT JOIN prod_homecare_actransactional_organization.providerorganization AS po ON po.providerorganizationid = p.providerorganizationid LEFT JOIN prod_homecare_actransactional_homecare.referral AS r ON p.providerid = r.providerid WHERE r.referredon >= ? AND NOT r.providerid IS NULL ORDER BY p.providerid","select * from ( select distinct p.* ,po.name as Organization from prod_homecare_actransactional_organization.provider p LEFT JOIN prod_homecare_actransactional_organization.providerorganization po on po.providerorganizationid = p.providerorganizationid LEFT JOIN prod_homecare_actransactional_homecar ..."
4410,"SELECT DISTINCT p.*, CASE WHEN name LIKE ? THEN ? WHEN name LIKE ? THEN ? WHEN name LIKE ? THEN ? WHEN name LIKE ? THEN ? WHEN name LIKE ? THEN ? WHEN name LIKE ? THEN ? WHEN name LIKE ? THEN ? WHEN name LIKE ? THEN ? WHEN name LIKE ? THEN ? WHEN name LIKE ? THEN ? WHEN name LIKE ? THEN ? WHEN name LIKE ? THEN ? WHEN name LIKE ? THEN ? WHEN name LIKE ? THEN ? WHEN name LIKE ? THEN ? WHEN name LIKE ? THEN ? WHEN name LIKE ? THEN ? WHEN name LIKE ? THEN ? WHEN name LIKE ? THEN ? WHEN name LIKE ? THEN ? WHEN name LIKE ? THEN ? WHEN name LIKE ? THEN ? WHEN name LIKE ? THEN ? WHEN name LIKE ? THEN  ...","select `providerid`, `profilefranchisename`, `addon`, `modifiedon`, `address`, `carecoordinatoruserid`, `agingcareprofilepage`, `warmtransferphonenumber`, `warmtransferafterhoursendtime`, `profilemissionstatement`, `profiletrademarkagencydetails`, `modifiedby`, `name`, `providerlogo`, `sysstarttime` ..."
4401,SELECT * FROM prod_homecare_insite_directory.slppsourcetype,"select `slppsourcetypeid`, `createdby`, `createdon`, `name`, `_fivetran_deleted`, `_fivetran_synced` from ( Select * FROM prod_homecare_insite_directory.slppsourcetype ) as `_`"
4398,SELECT * FROM prod_homecare_actransactional_seniorliving.referralstatustype,"select `referralstatustypeid`, `createdby`, `modifiedon`, `createdon`, `deleted`, `modifiedby`, `name`, `_fivetran_deleted`, `_fivetran_synced` from ( Select * FROM prod_homecare_actransactional_seniorliving.referralstatustype ) as `_`"
